,gender,hit_answered_date,hit_creation_date,household_income,household_size,location_city,location_country,location_region,marital_status,post_to_completion_secs,worker_id,year_of_birth,Age
38,female,00:28.3,,"Less than $10,000",4,puducherry,IN,py,married,,125af678a2ddf1d6aae694cf98333837,1992,24
39,female,00:23.7,49:15.0,"Less than $10,000",4,puducherry,IN,py,married,4268,125af678a2ddf1d6aae694cf98333837,1992,24
40,female,51:09.5,49:15.0,"$75,000-$99,999",5+,oklahoma city,US,ok,married,114,65c3dea431c0469b03a8c2a4ccdefe0c,1971,45
41,male,25:13.4,19:13.0,"$25,000-$39,999",5+,hyderabad,IN,ap,married,360,47945c8bf9744ab1623ab9ab63923c33,1989,27
42,female,14:48.6,04:15.0,"$40,000-$59,999",4,huntingdon,US,pa,cohabitating,633,1a2d07c9738e439d6aff4fc965618863,1986,30
43,female,13:58.8,49:39.0,"$40,000-$59,999",3,lakeland,US,fl,single,5059,021298857b509939f1afa4b0043bab4d,1979,37
44,female,40:58.5,34:13.0,"$25,000-$39,999",3,chennai,IN,tn,married,405,ad2be5b84c4f499d11467757fa759f48,1987,29
45,male,25:36.2,19:45.0,"$15,000-$24,999",4,vijayawada,IN,ap,single,351,805f0e186be00c480196c732859082c0,1992,24
46,male,23:56.8,19:39.0,"Less than $10,000",1,merrick,US,ny,single,3857,7c7f8e3afaf1585019d1544d5f07485b,1993,23
47,male,01:00.7,34:17.0,"$10,000-$14,999",4,viana do castelo,PT,16,married,1603,c555846c306a20961871c6673c992b03,1983,33
48,female,50:30.8,04:17.0,"$25,000-$39,999",2,?,BE,?,cohabitating,2773,65cb2503aff27adadb033518186f0989,1991,25
49,female,56:13.7,49:18.0,"Less than $10,000",4,milton,US,fl,single,415,13ac69d018c62a12160897c6b664e68a,1962,54
50,female,36:48.7,34:18.0,"$40,000-$59,999",1,mcallen,US,tx,single,150,0a94f66eb3b8da940b765d91e9c4c0ce,1972,44
51,male,26:59.4,19:18.0,"$40,000-$59,999",2,memphis,US,tn,single,461,5c22be6ecccbfd8fd480e37bf26a197b,1993,23
52,female,06:15.0,04:18.0,"Less than $10,000",1,princeton,CA,bc,single,117,6e962a4eddab4675d0fd949a6b3361ab,1986,30
53,male,52:59.7,49:21.0,"$10,000-$14,999",4,chennai,IN,tn,single,218,74d1556ca33235021083462993539d6e,1992,24
54,male,41:25.6,34:16.0,"Less than $10,000",3,coimbatore,IN,tn,married,429,dce8e7d41a808f751964caf875df5afd,1987,29
55,male,21:13.5,19:21.0,"Less than $10,000",4,?,IN,?,married,112,8f19f0ebc12163194b4893fd4ece8f52,1976,40
56,male,07:04.8,04:18.0,"$100,000 or more",5+,denver,US,co,married,166,45950cfc0227753e8cbab48b40fa6533,1982,34
57,male,52:05.4,49:12.0,"$60,000-$74,999",5+,thiruvananthapuram,IN,kl,married,173,0196c8ffeac291f394a5bf14e951d4c0,1989,27
58,male,38:46.4,34:14.0,"$10,000-$14,999",4,chennai,IN,tn,married,272,64f582d20094fbdc32a0f404a87b2e44,1983,33
59,male,24:08.5,19:15.0,"$25,000-$39,999",2,durango,MX,dur,married,293,1e8fd87eae37df8e7486a0e0f6780f3a,1979,37
60,male,11:09.6,04:14.0,"Less than $10,000",4,new delhi,IN,dl,married,415,e7c49475f00b9ffaab3ff1f16bc1d15e,1984,32
61,female,56:26.9,49:17.0,"$40,000-$59,999",5+,douglasville,US,ga,married,429,714e6c51d6ecf621d7a2e5fb7006b30e,1961,55
62,female,35:53.3,34:18.0,"$100,000 or more",4,fort worth,US,tx,married,95,dfadb65e06ec29ffda8b4df58ccec639,1972,44
63,male,20:43.5,19:18.0,"$100,000 or more",4,maywood,US,il,married,85,442f8601956307e6d4b5c5aa41cadfe6,1968,48
64,male,05:40.0,,"$60,000-$74,999",4,elkhart,US,in,single,,80763551edf55320a64dd60f4d014181,1992,24
65,male,05:38.5,04:32.0,"$60,000-$74,999",4,elkhart,US,in,single,66,80763551edf55320a64dd60f4d014181,1992,24
66,male,56:08.7,34:14.0,"$75,000-$99,999",4,brandon,US,ms,married,8514,4d12b68a40ebe80a9548e9492680107a,1974,42
67,male,52:08.2,49:15.0,"$40,000-$59,999",4,shelby,US,oh,married,173,66a382fb8b35dc814a362176a0d5d3c7,1984,32
68,female,36:05.8,34:14.0,"Less than $10,000",2,urbana,US,il,cohabitating,111,91b0f89091c393e453be6e6b25b07dc1,1978,38
69,male,33:28.3,19:15.0,"$100,000 or more",4,kirkland,US,wa,married,853,27d8ed297a4940a99c406d944d665b70,1964,52
70,female,09:36.2,04:15.0,"$60,000-$74,999",2,west milford,US,nj,married,321,a9bf0974ce46091360c910d6571e7a16,1969,47
71,female,50:38.1,49:15.0,"$40,000-$59,999",2,painesville,US,oh,married,83,eefa6b4bd13cb34fabf350f06ef2562f,1952,64
72,female,46:58.1,34:14.0,"$75,000-$99,999",2,newark,US,ca,married,764,25d044a71116eebce1c79e55bea4bd93,1991,25
73,female,21:48.2,19:16.0,"$60,000-$74,999",1,clarks summit,US,pa,single,152,2b2c93c55579ca079d083af7bcbe18c6,1976,40
74,female,08:16.6,04:13.0,"$60,000-$74,999",3,fayetteville,US,ny,divorced,243,455762c18e6c411f642170f3576160d0,1974,42
75,female,54:03.1,49:10.0,"$100,000 or more",3,oak park,US,il,married,293,3f96af83ced1a7f2b31bc8cc8ca7aa78,1984,32
76,female,27:26.0,19:12.0,"$25,000-$39,999",1,mount gilead,US,oh,divorced,493,0c90ed2eead0c7709029cde00909bdaf,1971,45
77,male,05:42.3,04:13.0,"$40,000-$59,999",3,knoxville,US,tn,married,89,b4c8042910939882e5bfd709ecd4bb8e,1989,27
78,female,56:23.2,49:12.0,"$25,000-$39,999",3,sidney,US,oh,divorced,4031,0f35dbadb113479cd4d159a46d0db629,1963,53
79,female,52:41.1,49:14.0,"$75,000-$99,999",2,ansonia,US,ct,cohabitating,207,7dcc429293f5d2dbae680319d70e7d68,1985,31
80,female,49:39.6,34:13.0,"$75,000-$99,999",1,beverly,US,ma,divorced,926,4a3d127c9d747c31acd3bb4c3e9f3458,1959,57
81,male,27:12.3,19:15.0,"$60,000-$74,999",3,spring lake,US,nc,married,477,fefa237a913ac86017bc6fcff596cca1,1966,50
82,female,11:37.4,04:15.0,"$75,000-$99,999",2,columbus,US,oh,married,442,433a664d15586bd3170304534ec98dd8,1989,27
83,female,56:41.6,34:16.0,"$60,000-$74,999",3,wylie,US,tx,divorced,4945,a765ac58acd30d17da2f72284bd8d901,1957,59
84,male,37:12.3,34:16.0,"Less than $10,000",1,logan,US,ut,single,176,edbc312a59fc61b02320295411904872,1988,28
85,female,35:17.9,19:13.0,"$75,000-$99,999",2,merced,US,ca,married,964,a6da6b48b43e9b82b4cfde809237a8cf,1956,60
86,male,08:26.1,04:17.0,"$40,000-$59,999",3,norfolk,US,va,married,249,1dcef5a6d7870f7d293a63912111c0e1,1956,60
87,male,08:23.5,,"$40,000-$59,999",3,norfolk,US,va,married,,1dcef5a6d7870f7d293a63912111c0e1,1956,60
88,female,53:53.6,19:17.0,"$100,000 or more",1,warrensburg,US,mo,divorced,2076,4d68bbf29d5190cc48f757661749a3f3,1952,64
89,female,51:22.7,49:18.0,"$10,000-$14,999",3,carbondale,US,il,divorced,124,af9956ffa059c13f043170d8732c7488,1972,44
90,female,07:38.0,04:17.0,"$40,000-$59,999",2,greer,US,sc,cohabitating,201,6b6873fef6ab85018676cfe21ef697d3,1995,21
91,female,55:01.9,49:16.0,"$10,000-$14,999",1,mount pleasant,US,mi,single,345,908a8fcb8732981ad0d39d6757b62d2f,1992,24
92,female,37:17.5,34:14.0,"$15,000-$24,999",3,new delhi,IN,dl,married,183,5d2861ca74814e84c24ac1018b058961,1983,33
93,male,26:47.8,19:21.0,"$40,000-$59,999",4,rupert,US,id,married,446,74761b771239bb1578eea30416b05818,1982,34
94,female,07:31.1,04:18.0,"$40,000-$59,999",2,cambridge,CA,on,single,193,5e2e20602bd9f98cf41ba3ff24c21136,1982,34
95,female,51:39.9,49:17.0,"$60,000-$74,999",3,marion,US,il,married,142,b9de16fb99d95f72988e79295b9f3930,1982,34
96,male,44:46.7,34:19.0,"$15,000-$24,999",1,naperville,US,il,single,627,d4f1bd292e1885f1d5c38733f7c799ae,1954,62
97,male,24:34.3,19:17.0,"$25,000-$39,999",1,fort bragg,US,nc,single,317,015dcbf103e69902d07c727ff614dfa4,1987,29
98,female,14:30.1,04:20.0,"$100,000 or more",2,minneapolis,US,mn,married,610,6b59902d2177a4e9a250247f63b227e7,1988,28
99,female,50:43.7,49:19.0,"$60,000-$74,999",2,virginia beach,US,va,cohabitating,84,73ac5280d6d6a6075dc3a53ccedf7354,1989,27
100,male,36:02.6,34:23.0,"$10,000-$14,999",1,salem,US,ma,single,99,9a62370e8624c6a4042f8be623a03bce,1965,51
101,male,21:30.1,19:20.0,"Less than $10,000",1,orange (obsolete),US,ca,single,130,f2d64d914e1cab94f6192258cb9d85b7,1992,24
102,female,09:45.0,,"$10,000-$14,999",2,santa ana,US,ca,single,,2085606a3e4a5f53e1e3113850710773,1985,31
103,female,09:43.6,04:51.0,"$10,000-$14,999",2,santa ana,US,ca,single,292,2085606a3e4a5f53e1e3113850710773,1985,31
104,male,37:13.5,34:17.0,"$60,000-$74,999",2,cedar rapids,US,ia,married,176,2678654560c7fdb15d654613b8035184,1946,70
105,female,31:44.5,19:19.0,"$100,000 or more",5+,brookline,US,ma,single,745,f193633af331f058957a0bb43e210e3d,1993,23
106,female,06:47.6,04:19.0,"$60,000-$74,999",4,?,US,?,married,148,bcd68362083b82e3368920744f0c0c84,1981,35
107,female,05:36.0,04:20.0,"$100,000 or more",3,ossining,US,ny,single,3676,274603b8a6336c0f8bc3d7ec48972760,1994,22
108,female,56:00.0,49:18.0,"$60,000-$74,999",4,evans,US,ga,married,401,5278e9dd89f854166c34f79684cfdc50,1974,42
109,male,37:31.6,34:18.0,"$100,000 or more",2,austin,US,tx,single,193,7424055014503f8bb164a33d6fb13919,1975,41
110,female,30:55.6,19:18.0,"$40,000-$59,999",2,mechelen,BE,van,married,697,b337e244396855de3382dd6637b2f133,1986,30
111,male,50:19.9,49:19.0,"Less than $10,000",4,chennai,IN,tn,single,60,0a5288b3e222c4599c9e43b263084a5e,1992,24
112,female,39:32.2,34:16.0,"$60,000-$74,999",3,ajo,US,az,single,316,37fcc008a90de22431f26cadb01a73d6,1991,25
113,female,31:58.8,19:17.0,"$100,000 or more",3,herndon,US,va,cohabitating,761,2d9d52fa1f8cb0ab4c2bec94e0a72024,1994,22
114,female,06:49.8,04:20.0,"$60,000-$74,999",4,cleveland,US,oh,married,149,e338aac312fda54176ac8a2963a26c3d,1945,71
115,female,49:56.9,49:19.0,"$100,000 or more",2,cohoes,US,ny,cohabitating,37,aa5d4fb33b04daf7c7aec3721b4be6a4,1970,46
116,male,38:26.9,34:18.0,"$75,000-$99,999",1,houston,US,tx,divorced,248,b1339ac1e12693541760392bc5734a02,1970,46
117,male,26:08.0,19:19.0,"Less than $10,000",1,astrakhan,RU,ast,single,409,6d03ee0484d6171184886abdb70377e5,1993,23
118,male,09:48.3,04:17.0,"Less than $10,000",3,istanbul,TR,34,single,331,84a1e84e234d5ddf4884bbe547da64de,1988,28
119,female,50:48.3,49:23.0,"$60,000-$74,999",3,hilversum,NL,nh,married,85,ae89679f4b90f3b172a8b7a6ac4d822b,1981,35
120,female,37:10.0,34:16.0,"$40,000-$59,999",2,roswell,US,nm,married,173,78a4e3c38683115ba24c25d1da031efd,1956,60
121,female,26:48.6,19:17.0,"$100,000 or more",4,bellbrook,US,oh,married,451,a46f48375455393f2acdf96b83d5a35e,1978,38
122,male,10:30.7,49:17.0,"$15,000-$24,999",4,bangalore,IN,ka,married,8473,22c72535c8e33be777b11a279f1f3c89,1980,36
123,male,07:39.0,04:20.0,"$25,000-$39,999",5+,cleveland,US,oh,married,199,df1771d719c422502ee6284b1320a45f,1978,38
124,female,56:14.0,49:20.0,"$60,000-$74,999",3,pittsburgh,US,pa,single,4014,b43ce5be916becca299656e5dccb5dac,1991,25
125,male,53:43.0,34:22.0,"$100,000 or more",5+,wakefield,US,ma,married,1160,39b8e3459c0939790350ca2111653895,1968,48
126,female,51:39.6,49:17.0,"$100,000 or more",3,medford,US,nj,married,142,8fdfe956c290655c448e2c296a19b91c,1962,54
127,female,47:46.7,19:17.0,"$15,000-$24,999",2,san antonio,US,tx,single,1709,98d00afa8f79953eaa8eaa39ac8d09c8,1973,43
128,male,07:42.1,04:16.0,"$15,000-$24,999",1,None,ZZ,None,single,206,0ac227057897372179234a5891e9712e,1984,32
129,female,51:54.3,19:16.0,"$10,000-$14,999",1,los angeles,US,ca,single,1958,192a0ff3a1c20787651b2c30c5ff8647,1973,43
130,female,36:50.1,34:18.0,"$75,000-$99,999",2,apopka,US,fl,married,152,fd9cda6762256f292d506d36f2feca10,1976,40
131,male,09:58.7,04:16.0,"Less than $10,000",1,ghaziabad,IN,up,single,342,213fea65457c7213a68ad71236056b0f,1995,21
132,female,50:51.7,19:19.0,"$100,000 or more",2,sunnyside,US,wa,married,1892,af3caee3c97912b4b91f4b025fe9b763,1957,59
133,female,38:54.7,34:20.0,"$25,000-$39,999",5+,carrollton,US,ga,married,274,1bf4d90b494b64f8906d4ac53175319c,1985,31
134,female,08:36.3,04:21.0,"$15,000-$24,999",4,padua,IT,pd,single,255,adff2214e38ec08b1ffecb68b41a0983,1987,29
135,male,54:00.2,49:18.0,"$75,000-$99,999",3,halmstad,SE,n,single,282,97becf796a2202ce6eafd2127c97dda6,1993,23
136,male,35:17.4,34:24.0,"$25,000-$39,999",2,slidell,US,la,single,53,b20737624d32d588c0367bf9896cd6bc,1991,25
137,male,30:56.6,19:18.0,"$60,000-$74,999",3,dubai,AE,?,married,4298,19d225d82c37ca3521f6f3e93d1f1e81,1988,28
138,male,19:58.8,19:14.0,"$10,000-$14,999",3,pune,IN,mh,married,44,56e1b1bde4a6c3f80ad193b9e15ad724,1984,32
139,female,18:47.1,04:19.0,"Less than $10,000",2,kota kinabalu,MY,12,single,868,56395f14f7f1748be71bcd5c9716dcb5,1979,37
140,female,08:15.6,34:21.0,"$25,000-$39,999",3,chennai,IN,tn,married,5634,34f059128ce4a46a9b2d911f8147ace7,1983,33
141,female,59:56.3,49:21.0,"Less than $10,000",5+,hyderabad,IN,ap,single,635,8764b08660583daa988e24a01f2177a3,1992,24
142,female,42:36.9,34:17.0,"Less than $10,000",3,mysore,IN,ka,married,499,3a0374af5f5c5adb4ba9e9b60ed5bfb1,1986,30
143,female,07:59.8,04:20.0,"$15,000-$24,999",2,huntsville,US,tx,cohabitating,219,c39a98b400b6201e3084e9e5d2129ff2,1974,42
144,female,50:52.2,49:18.0,"$25,000-$39,999",3,north las vegas,US,nv,single,94,7a5cffd98115e61d6bb44b8cc2e9b1a7,1985,31
145,female,20:23.9,19:20.0,"$40,000-$59,999",1,sumter,US,sc,single,63,1712afd20590029441eedf596605b048,1985,31
146,male,07:05.6,04:18.0,"$40,000-$59,999",4,encinitas,US,ca,single,167,c7754e4cd721fddcdad49da33f67b0ae,1977,39
147,male,51:52.4,49:15.0,"Less than $10,000",4,patna,IN,br,married,157,39c20ec4d726f084ca938d91a830fcb5,1985,31
148,female,44:49.0,34:15.0,"$25,000-$39,999",4,?,IN,?,single,634,9ce7e682f61678796faeec662b22a8ac,1991,25
149,male,31:29.8,19:17.0,"$100,000 or more",5+,riverside,US,ca,married,732,2feab384ba379e98871589b761a8c358,1975,41
150,female,07:11.7,04:17.0,"$25,000-$39,999",4,katy,US,tx,single,174,4ed59a37342e6559aa49abd2d6f63299,1992,24
151,male,50:00.0,49:20.0,"$75,000-$99,999",3,new york,US,ny,single,40,8ef7b3cb695b9c0f62f833be995afcd4,1982,34
152,female,35:44.6,34:19.0,"$25,000-$39,999",4,white hall,US,ar,married,85,dced341e79492dd85b25608628a7c76a,1971,45
153,male,21:13.2,,"$25,000-$39,999",4,dunkirk,US,ny,single,,127899ecb2082f1f13d105aab5754617,1997,19
154,male,21:11.0,19:16.0,"$25,000-$39,999",4,dunkirk,US,ny,single,115,127899ecb2082f1f13d105aab5754617,1997,19
155,female,06:03.3,04:15.0,"$15,000-$24,999",2,suffolk,US,va,married,108,12a5d97b076839ce66134f5b1188fb87,1968,48
156,female,51:07.6,49:15.0,"Less than $10,000",4,vellore,IN,tn,married,112,019f931952bb3b0ff1bddf15d7595a2d,1990,26
157,female,36:33.4,34:16.0,"$40,000-$59,999",4,west covina,US,ca,single,137,31115c2bb244d74301d70a1bdbfa4713,1969,47
158,male,29:01.6,04:15.0,"$25,000-$39,999",3,gardena,US,ca,single,1486,2728c37328fde08360f3d0e98ff784de,1993,23
159,female,28:26.6,19:15.0,"$10,000-$14,999",2,lafayette,US,la,married,551,a324b92daadc4c338bcbd3c9fdb9a46a,1953,63
160,female,53:15.4,49:18.0,"$40,000-$59,999",4,meridian,US,ms,married,237,856166b6e06d61241e94b37bfac0ff85,1968,48
161,male,39:06.6,34:19.0,"$25,000-$39,999",4,?,IN,?,married,287,baaaba482ad33b9a8e5df6cb279b6f9d,1976,40
162,male,20:10.8,19:17.0,"$40,000-$59,999",4,linden,US,nj,single,53,e8c4797becfa773bca7b2b55205994e0,1978,38
163,male,05:04.3,04:19.0,"$25,000-$39,999",2,los angeles,US,ca,divorced,45,8735d2f59af1528f1cfe2e01237fb348,1974,42
164,female,54:08.0,49:16.0,"$40,000-$59,999",4,rapid city,US,sd,married,291,0d6a6af45c710828f296278f166eaea2,1984,32
165,female,36:13.8,34:22.0,"$60,000-$74,999",3,lincoln,US,ne,cohabitating,111,065adab72817b9240827ea4caf65c8a7,1983,33
166,female,22:43.1,19:19.0,"$25,000-$39,999",1,saint paul,US,mn,single,204,79b45133a3e51839717d12d95b8d6f10,1980,36
167,female,05:55.5,04:21.0,"$75,000-$99,999",4,howard county,US,md,married,94,63d163705831d02e7ed2972fdfa8f1e7,1972,44
168,male,53:59.6,49:18.0,"$25,000-$39,999",3,virginia beach,US,va,single,281,e7a2d62afb8b29303de8b5951b71f72f,1984,32
169,male,45:39.2,34:22.0,"$40,000-$59,999",3,minneapolis,US,mn,single,677,01d8c87ee3521a26b9ad057aa94ba389,1990,26
170,female,19:59.8,19:21.0,"$75,000-$99,999",4,post falls,US,id,married,38,594f3fb0d194f109697627b5241f4011,1975,41
171,female,05:20.7,04:22.0,"Less than $10,000",4,chennai,IN,tn,married,58,d7d3b64b0ae70886819d1a46392a770b,1987,29
172,male,51:14.7,49:17.0,"$15,000-$24,999",1,east bridgewater,US,ma,single,117,efae05a8c75f65f52e7d4c61ed0e9aaa,1996,20
173,male,51:10.3,,"$15,000-$24,999",1,east bridgewater,US,ma,single,,efae05a8c75f65f52e7d4c61ed0e9aaa,1996,20
174,female,35:42.1,34:16.0,"$40,000-$59,999",3,sanford,US,fl,divorced,86,c3b14cc5571ce1fd7d385f61b3b3c7f2,1972,44
175,male,23:08.0,04:17.0,"$25,000-$39,999",3,mount vernon,US,ia,single,1130,e6079e175459ff75c49921bc4cfe9635,1973,43
176,female,22:49.2,19:15.0,"$75,000-$99,999",2,saginaw,US,mi,single,214,bc85f2939b820a2a1a5b9ef579aa398f,1993,23
177,male,51:13.8,19:15.0,"$75,000-$99,999",2,austin,US,tx,married,1918,50f573e3c24c8ebca55df83fa0e5ab7b,1981,35
178,male,50:15.7,49:14.0,"$25,000-$39,999",3,?,US,?,cohabitating,61,5ff81eb4a0d0d09b81f7f09f5776d83f,1965,51
179,male,40:05.2,34:38.0,"$15,000-$24,999",1,philadelphia,US,pa,single,327,226a247e81a5bc09185dd389f584b4ec,1962,54
180,male,06:03.4,04:15.0,"$100,000 or more",3,goose creek,US,sc,married,108,f77c9b3a579848df020b4e1fcf070cdb,1983,33
181,female,50:24.7,49:13.0,"$60,000-$74,999",3,yelm,US,wa,married,71,b69694b1ca9991b152f340ccc6471289,1972,44
182,female,41:24.5,34:15.0,"$60,000-$74,999",1,aliso viejo,US,ca,single,429,e04a56602a957abdbac1be8bd2e11be0,1990,26
183,female,26:49.7,19:13.0,"$40,000-$59,999",3,concord,US,nh,married,4056,6c49b8632d039b5cb07b82c8c6496729,1972,44
184,female,19:59.0,19:13.0,"$10,000-$14,999",3,manhattan,US,ks,divorced,45,77cb3b28d9c84471016fd468082eef2a,1990,26
185,female,16:12.3,04:16.0,"$15,000-$24,999",1,abilene,US,tx,single,716,af35667fc8906a8ae2ce13c2a5cfbbb7,1989,27
186,male,12:47.8,04:12.0,"$25,000-$39,999",3,east lansing,US,mi,single,4115,71bb241232647a6ba87e630895d043da,1996,20
187,male,05:59.6,04:14.0,"$40,000-$59,999",1,new orleans,US,la,single,7305,86b6379b93b28da6cc3b2503247c0ec1,1970,46
188,male,49:42.6,49:13.0,"$100,000 or more",2,charlotte,US,nc,married,29,77c7aa759b269703c69f0ca36605081d,1987,29
189,male,45:44.3,34:13.0,"Less than $10,000",5+,abuja,NG,fc,single,691,c5c948bfb1837ba2960e7d56ef1295a2,1987,29
190,female,07:04.2,34:13.0,"$60,000-$74,999",2,mobile,US,al,engaged,1971,ecc8f4e108872c6c8b7e89f33987fe05,1986,30
191,female,06:58.3,,"$60,000-$74,999",2,mobile,US,al,engaged,,ecc8f4e108872c6c8b7e89f33987fe05,1986,30
192,female,54:43.8,49:13.0,"$60,000-$74,999",4,park hills,US,mo,married,330,cf6e98c95bcd7da181e6ffa43528c1fc,1989,27
193,female,23:29.3,19:12.0,"$40,000-$59,999",1,virginia,US,mn,single,257,52e2080303ae2d016cb6ff39d57acea7,1981,35
194,female,05:52.4,34:15.0,"$25,000-$39,999",2,lynnwood,US,wa,divorced,1897,1b015d924532797f146fd21b2136de45,1969,47
195,male,55:33.3,49:14.0,"$60,000-$74,999",2,pittsburgh,US,pa,married,379,393dd2346a8d7a94697224fc134e2e25,1980,36
196,female,23:29.9,49:15.0,"$60,000-$74,999",5+,clearwater,US,fl,cohabitating,2054,3bdaee716114e6a6a4af38869de7fb3f,1985,31
197,male,19:54.4,19:13.0,"$75,000-$99,999",2,tampa,US,fl,single,41,9ec76ed9151535205ff81eb14c0bb390,1991,25
198,female,16:43.4,19:17.0,"$15,000-$24,999",2,ecorse,US,mi,married,7046,05e5d4e4515467482d1dadc83e1824f0,1973,43
